x,Curve1
1.1523,0.6971
1.2758,0.7718
3.1056,1.5945
3.8148,1.8938
4.0204,1.9852
5.5827,2.6254
5.6746,2.543
8.3251,3.3925
9.5784,3.7923

x,Curve2
0.268,0.2651
1.0113,1.2009
1.7642,2.0209
1.8648,1.641
1.8885,2.2609
3.7076,2.9844
3.8104,3.026
4.9625,3.6817
5.384,3.8811
5.8361,4.0393
9.7199,5.3877
9.8532,5.3798

x,Curve3
0.0933,0.1903
0.3907,0.1828
0.9291,1.1759
1.2798,1.5569
1.4834,1.2599
1.9888,1.8066
3.1823,2.5451
3.2751,2.6527
4.2835,3.2751
4.5712,3.3832
6.1341,4.1474
9.1021,4.9151
9.3281,4.9735
9.4721,5.0565

x,Curve4
0.7807,0.2416
1.1709,0.3252
1.5408,0.4501
1.6947,0.4753
2.1777,0.65
2.7425,0.7837
3.1016,0.8176
3.9852,1.1173
4.6423,1.2429
5.4425,1.278
6.5613,1.4625
7.5577,1.7543
8.1632,1.8219

x,Curve5
0.9971,0.4405
1.8805,0.7071
2.4766,0.9318
2.9288,1.123
3.5967,1.356
5.5286,2.0716
6.7299,2.3307
7.4386,2.5226

x,Curve6
0.0413,0.058
0.6268,0.233
1.1304,0.4326
1.6442,0.6239
1.9014,0.7816
2.2916,0.8569
2.746,1.4696
2.7853,1.1391
3.0637,1.4291
4.2863,1.8288
5.5099,2.4269
6.2601,2.718
