x,a
2.34977,134.84
2.39611,99.84
2.43308,93.93
2.49959,89.03
2.46814,99.87
2.44041,105.77
2.44036,117.12
2.39971,118.58
2.38489,129.92
2.41815,125.99
2.41439,139.8
2.39589,147.68
2.43837,146.22
2.46245,132.91
2.50684,118.13
2.52721,106.3
2.56233,100.39
2.59372,102.87
2.54376,122.09
2.49754,131.44
2.48458,139.82
2.47161,148.7
2.42719,169.39
2.4549,166.94
2.49558,157.58
2.51213,173.37
2.51578,181.76
2.48066,188.65
2.50855,148.22
2.53262,135.89
2.58255,121.61
2.56586,135.9
2.53811,145.76
2.57135,146.26
2.59356,138.38
2.61575,132.47
2.61015,145.29
2.63972,140.86
2.67482,138.9
2.65645,117.69
2.68049,110.79
2.70258,126.09
2.70255,133.49
2.73763,135.97
2.72282,143.36
2.60272,153.67
2.58972,169.45
2.63965,156.15
2.77632,157.68
2.70978,167.52
2.68386,181.82
2.61735,184.75
2.57484,190.66
2.72992,205.51
2.76131,207
2.79279,188.76
2.86307,170.04
2.80008,211.94
2.75553,258.78
2.84967,272.13
2.85905,240.57
2.87208,217.89
2.88876,205.07
2.89979,216.91
2.96075,214.47
3.03847,181.94
3.06061,188.36
3.03466,208.57
3.04201,215.97
3.02352,220.9
3.01425,226.82
2.97916,226.31
2.95694,240.11
2.94951,248.49
2.97719,252.94
2.95682,265.76
2.98826,257.88
2.93831,275.12
2.98261,280.07
3.00103,290.43
3.00666,271.7
3.02147,263.81
3.05832,284.04
3.06206,274.18
3.09348,269.75
3.09897,280.61
3.06768,257.41
3.05109,248.53
3.08065,246.57
3.10833,252.99
3.13417,257.44
3.13228,266.81
3.17104,272.25
3.18403,257.95
3.16559,253.01
3.15269,245.11
3.15827,237.22
3.14721,232.29
3.13986,224.89
3.11215,226.36
3.10479,219.45
3.13805,215.51
3.2027,215.04
3.20784,301.36
3.09331,306.25
3.10068,309.71
3.03971,313.14
3.15794,309.23
3.15976,314.17
3.31879,273.29
3.3058,286.6
3.29651,299.91
3.28167,311.74
3.31679,305.84
3.33705,318.67
3.27977,323.09
3.29821,329.5
3.17628,337.35
3.17994,345.25
3.2205,360.06
3.25373,363.03
3.25749,348.73
3.27416,339.36
3.3074,340.85
3.33327,338.89
3.37947,331.01
3.39981,326.58
3.34055,360.1
3.42002,349.77
3.45142,349.78
3.44767,361.12
3.43468,373.94
3.46793,373.95
3.49757,354.24
3.51782,368.55
3.51961,380.88
3.48819,385.31
3.46047,390.23
3.48627,402.07
3.3902,406.97
3.41795,398.1
3.32934,388.7
3.32757,370.94
3.3218,421.74
3.44002,419.32
3.47882,416.37
3.49541,422.79
3.59341,397.67
3.6027,387.81
3.58427,376.95
3.55672,344.89
3.63982,347.87
3.69495,408.07
3.67829,415.95
3.60067,427.27
3.56739,434.65
3.58945,455.38
3.65969,443.07
3.72076,418.43
3.6504,455.4
3.66883,464.78
3.70946,465.28
3.73714,470.23
3.77776,472.21
3.78511,482.08
3.75555,482.56
3.76105,492.92
3.68171,475.63
3.68166,485.5
3.65025,487.95
3.63362,490.41
3.5708,494.83
3.58178,516.53
3.6539,498.31
3.68159,500.29
3.75388,444.58
3.76869,437.19
3.79272,433.25
3.80201,421.91
3.84077,426.37
3.85559,417
3.82041,437.7
3.8185,450.53
3.82768,461.38
3.83873,469.27
3.87392,448.08
3.89233,459.92
3.92006,454.51
3.93481,460.92
3.95702,451.56
3.90908,434.28
3.94044,442.18
3.95523,439.23
3.9756,426.91
3.96083,425.42
3.95878,470.8
3.98091,477.22
3.98268,494.48
3.84049,487.03
3.85337,497.89
3.84041,504.79
3.81274,498.86
3.81638,509.22
3.77576,507.23
3.73883,505.24
3.74989,510.67
3.73138,518.56
3.73503,528.42
3.7055,522.99
3.69441,523.97
3.6925,538.27
3.70535,555.54
3.75336,557.53
3.77558,546.69
3.81438,541.28
3.7978,533.38
3.83105,532.9
3.81815,525.99
3.81449,518.59
3.8496,515.64
3.85324,526
3.87355,527.49
3.8994,529.47
3.91417,530.95
3.91228,540.32
3.95664,532.45
3.93266,526.52
3.98064,535.91
3.99169,541.83
4.0102,534.44
3.94747,520.12
3.92164,512.71
3.89211,508.26
3.91061,501.85
3.95859,511.24
3.98815,508.78
4.00473,518.66
4.03432,509.29
4.04906,517.69
4.05635,538.4
4.00641,553.67
3.95655,553.16
3.99343,565.51
3.8439,549.67
3.9085,558.57
3.85493,559.54
3.82354,560.02
3.87151,569.41
3.8401,572.85
3.79392,573.33
3.75513,573.32
3.76431,585.65
3.76982,593.05
3.87699,581.74
3.92691,572.39
3.93795,581.27
3.92313,591.13
3.95823,589.66
3.99702,588.69
3.96188,598.54
3.92855,615.79
3.899,617.75
3.83986,624.64
4.25158,657.83
4.19818,622.3
4.2131,590.74
4.23166,572.5
4.25013,571.02
4.16708,558.17
4.09689,559.63
4.15607,541.89
4.08597,524.11
4.09524,515.73
4.13221,510.32
4.16174,513.78
4.17655,507.87
4.15439,505.88
4.19694,491.1
4.23002,526.63
4.20037,548.81
4.29276,540.46
4.33527,533.57
4.30581,513.34
4.30186,568.08
4.28703,579.91
4.37382,584.38
4.46072,564.68
4.46451,542.49
3.84926,589.13
