x,c00
0.849559,0.92937
0.852647,1.08879
0.856618,1.25868
0.858733,1.35726
0.86112,1.44116
0.862885,1.47897
0.865882,1.49775
0.868347,1.48305
0.870203,1.45539
0.872059,1.42007
0.874706,1.37599
0.879482,1.30882
0.893235,1.20589
0.910441,1.14489
0.934706,1.10061
0.967794,1.07722
1.003088,1.07689
1.037059,1.09965
1.072353,1.14758
1.100147,1.20606
1.1275,1.27923
1.158824,1.36285
1.183971,1.44024
1.210882,1.52391
1.233382,1.60132
1.256324,1.68502
1.278382,1.76664
1.302206,1.86711

x,c01
0.848235,0.92939
0.851142,1.03426
0.853789,1.11605
0.855203,1.15626
0.8582,1.17179
0.860938,1.15288
0.863494,1.11386
0.866233,1.07527
0.870994,1.03993
0.876912,1.01513
0.885735,1.00246
0.893676,0.99733
0.902941,0.99391
0.916176,1.00514
0.935147,1.02088
0.952353,1.03541
0.973088,1.0541
0.990294,1.07492
1.009706,1.09991
1.032647,1.12697
1.053824,1.15404
1.080294,1.18527
1.096176,1.20696
1.116562,1.23861
1.15,1.28741
1.184412,1.33954
1.216176,1.39169
1.251029,1.4543
1.276618,1.50861
1.302206,1.56711

x,c02
0.848235,0.93061
0.849104,0.97223
0.849972,0.99738
0.851282,1.00989
0.853253,0.99575
0.855354,0.97513
0.858856,0.95277
0.865029,0.94877
0.875702,0.95761
0.889642,0.97721
0.91125,1.00162
0.927708,1.01312
0.950118,1.03289
0.964125,1.04503
0.987586,1.06042
1.005094,1.07086
1.032886,1.08953
1.066022,1.10964
1.096836,1.1281
1.136054,1.15228
1.186828,1.18301
1.223245,1.20537
1.254759,1.22697
1.282552,1.24669
1.303782,1.26105

x,c03
0.849622,0.00313
0.917553,0.02248
0.981283,0.0452
1.046413,0.0679
1.109442,0.09229
1.174222,0.13498
1.222544,0.17948
1.253709,0.21416
1.29958,0.28034

x,c04
0.848571,0.00647
0.896194,0.01269
0.962724,0.02372
1.020501,0.0415
1.067773,0.05604
1.113294,0.07227
1.158465,0.0935
1.204686,0.11971
1.249507,0.15759
1.296779,0.20543

x,c05
0.848571,0.00647
0.929459,0.01737
0.971478,0.02531
1.027854,0.03977
1.080029,0.0526
1.134304,0.06874
1.189979,0.09487
1.231999,0.12112
1.272618,0.15071
1.29888,0.17711
